日期,投資資產淨值(收盤),外部現金流(入金+ / 出金-),日報酬率(TWR),累積指數(=1起),累積報酬(你),累積高點,回撤,基準收盤價(0050),基準日報酬,基準累積指數,基準累積報酬,日Alpha(你-基準),累積Alpha,跑贏?(Y/N),備註
2026-02-26,"411,622",0,,1,0.0%,1,0.0%,81.15,,1,0.0%,,0.0%,,Day0（起算日）
2026-03-02,"428,482","21,580",-1.1%,0.989,-1.1%,1.000,-1.1%,80.35,-1.0%,0.990,-1.0%,-0.2%,-0.2%,N,
2026-03-03,"418,662",0,-2.3%,0.966,-3.4%,1.000,-3.4%,78.75,-2.0%,0.970,-3.0%,-0.3%,-0.5%,N,
2026-03-04,"404,952",0,-3.3%,0.934,-6.6%,1.000,-6.6%,75.60,-4.0%,0.932,-6.8%,0.7%,0.3%,Y,
2026-03-05,"413,830",0,2.2%,0.955,-4.5%,1.000,-4.5%,77.40,2.4%,0.954,-4.6%,-0.2%,0.1%,N,
2026-03-06,"412,020",0,-0.4%,0.951,-4.9%,1.000,-4.9%,76.85,-0.7%,0.947,-5.3%,0.3%,0.3%,Y,
2026-03-09,"394,830",0,-4.2%,0.911,-8.9%,1.000,-8.9%,73.60,-4.2%,0.907,-9.3%,0.1%,0.4%,Y,
2026-03-10,"398,510",0,0.9%,0.919,-8.1%,1.000,-8.1%,75.20,2.2%,0.927,-7.3%,-1.2%,-0.8%,N,
2026-03-11,"410,122",0,2.9%,0.946,-5.4%,1.000,-5.4%,78.20,4.0%,0.964,-3.6%,-1.1%,-1.9%,N,
2026-03-12,"409,187",0,-0.2%,0.944,-5.6%,1.000,-5.6%,76.60,-2.0%,0.944,-5.6%,1.8%,-0.1%,Y,
2026-03-13,"407,083",0,-0.5%,0.939,-6.1%,1.000,-6.1%,75.95,-0.8%,0.936,-6.4%,0.3%,0.2%,Y,
2026-03-16,"408,636",0,0.4%,0.943,-5.7%,1.000,-5.7%,75.60,-0.5%,0.932,-6.8%,0.8%,1.1%,Y,
2026-03-17,"415,350",0,1.6%,0.958,-4.2%,1.000,-4.2%,76.65,1.4%,0.945,-5.5%,0.3%,1.3%,Y,
2026-03-18,"419,898",0,1.1%,0.969,-3.1%,1.000,-3.1%,77.80,1.5%,0.959,-4.1%,-0.4%,0.9%,N,
2026-03-19,"420,061",0,0.0%,0.969,-3.1%,1.000,-3.1%,76.00,-2.3%,0.937,-6.3%,2.4%,3.3%,Y,
2026-03-27,"409,394",0,-2.5%,0.944,-5.6%,1.000,-5.6%,75.00,-1.3%,0.924,-7.6%,-1.2%,2.1%,N,
2026-03-28,"398,291",0,-2.7%,0.919,-8.1%,1.000,-8.1%,73.90,-1.5%,0.911,-8.9%,-1.2%,0.8%,N,